ime_film,datum_izdavanja,ocjena,trajanje_min,ime_zarn,ime_drzava,ime_redatelj,prezime_redatelj,ime_glumac,prezime_glumac,ime_nagrada,datum_osvajanja,box_office,budzet
Titanic,1997-11-01,7.9,195,povijesni,United States,James,Cameron,Leonardo,DiCaprio,Best Original Score,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Leonardo,DiCaprio,Best Picture,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Leonardo,DiCaprio,Best Original Score,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,povijesni,United States,James,Cameron,Kate,Winslet,Best Picture,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,povijesni,United States,James,Cameron,Kate,Winslet,Best Original Score,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Kate,Winslet,Best Picture,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Kate,Winslet,Best Original Score,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,povijesni,United States,James,Cameron,Billy,Zane,Best Picture,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,povijesni,United States,James,Cameron,Billy,Zane,Best Original Score,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Billy,Zane,Best Picture,1998-02-22,995000000,20000000
Titanic,1997-11-01,7.9,195,romansa,United States,James,Cameron,Billy,Zane,Best Original Score,1998-02-22,995000000,20000000
Love Actually,2003-11-14,7.6,136,drama,United Kingdom,Richard,Curtis,Hugh,Grant,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Love Actually,2003-11-14,7.6,136,romansa,United Kingdom,Richard,Curtis,Hugh,Grant,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Love Actually,2003-11-14,7.6,136,drama,United Kingdom,Richard,Curtis,Liam,Neeson,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Love Actually,2003-11-14,7.6,136,romansa,United Kingdom,Richard,Curtis,Liam,Neeson,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Love Actually,2003-11-14,7.6,136,drama,United Kingdom,Richard,Curtis,Emma,Thompson,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Love Actually,2003-11-14,7.6,136,romansa,United Kingdom,Richard,Curtis,Emma,Thompson,Best Performance by an Actor in a Supporting Role,2003-02-08,246000000,40000000
Kill Bill 2,2004-04-08,8,137,krimiæ,United States,Quentin,Tarantino,Emma,Thompson,Best Fight,2005-06-04,152000000,30000000
Kill Bill 2,2004-04-08,8,137,akcija,United States,Quentin,Tarantino,Emma,Thompson,Best Fight,2005-06-04,152000000,30000000
Kill Bill,2004-12-11,8.2,111,krimiæ,United States,Quentin,Tarantino,Uma,Thurman,Best Actress,2004-04-04,180000000,30000000
Kill Bill,2004-12-11,8.2,111,akcija,United States,Quentin,Tarantino,Uma,Thurman,Best Actress,2004-04-04,180000000,30000000
Kill Bill,2004-12-11,8.2,111,krimiæ,United States,Quentin,Tarantino,David,Carradine,Best Actress,2004-04-04,180000000,30000000
Kill Bill,2004-12-11,8.2,111,akcija,United States,Quentin,Tarantino,David,Carradine,Best Actress,2004-04-04,180000000,30000000
Kill Bill 2,2004-04-08,8,137,krimiæ,United States,Quentin,Tarantino,David,Carradine,Best Fight,2005-06-04,152000000,30000000
Kill Bill 2,2004-04-08,8,137,akcija,United States,Quentin,Tarantino,David,Carradine,Best Fight,2005-06-04,152000000,30000000
Kill Bill,2004-12-11,8.2,111,krimiæ,United States,Quentin,Tarantino,Daryl,Hannah,Best Actress,2004-04-04,180000000,30000000
Kill Bill,2004-12-11,8.2,111,akcija,United States,Quentin,Tarantino,Daryl,Hannah,Best Actress,2004-04-04,180000000,30000000
Kill Bill 2,2004-04-08,8,137,krimiæ,United States,Quentin,Tarantino,Lucy,Liu,Best Fight,2005-06-04,152000000,30000000
Kill Bill 2,2004-04-08,8,137,akcija,United States,Quentin,Tarantino,Lucy,Liu,Best Fight,2005-06-04,152000000,30000000
The Amazing Spiderman,2012-07-03,6.9,136,sci-fi,United States,Marc,Webb,Andrew,Garfield,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman,2012-07-03,6.9,136,akcija,United States,Marc,Webb,Andrew,Garfield,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman 2,2012-07-03,6.6,142,sci-fi,United States,Marc,Webb,Andrew,Garfield,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
The Amazing Spiderman 2,2012-07-03,6.6,142,akcija,United States,Marc,Webb,Andrew,Garfield,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
The Amazing Spiderman,2012-07-03,6.9,136,sci-fi,United States,Marc,Webb,Emma,Stone,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman,2012-07-03,6.9,136,akcija,United States,Marc,Webb,Emma,Stone,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman 2,2012-07-03,6.6,142,sci-fi,United States,Marc,Webb,Emma,Stone,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
The Amazing Spiderman 2,2012-07-03,6.6,142,akcija,United States,Marc,Webb,Emma,Stone,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
The Amazing Spiderman,2012-07-03,6.9,136,sci-fi,United States,Marc,Webb,Stan,Lee,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman,2012-07-03,6.9,136,akcija,United States,Marc,Webb,Stan,Lee,Best Kiss,2003-06-04,758000000,300000000
The Amazing Spiderman 2,2012-07-03,6.6,142,sci-fi,United States,Marc,Webb,Stan,Lee,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
The Amazing Spiderman 2,2012-07-03,6.6,142,akcija,United States,Marc,Webb,Stan,Lee,Kids Choice Award for Favorite Movie Actress,2015-06-04,709000000,200000000
